episode_id,start,end,status,sound,readings,power_mean,airflow_mean,pressure_mean,flow_mean,temperature_mean,vibration_mean,duration_hours
1,2026-07-01 00:00:00,2026-07-04 23:00:00,stable,normal,96,47.68757291666666,4.457427083333333,348.7652083333333,2.12609375,18.9380625,0.147125,96
2,2026-07-05 00:00:00,2026-07-05 11:00:00,warning,hum,12,47.91825,4.489833333333333,299.917,1.811,19.084416666666666,0.2981666666666667,12
3,2026-07-05 12:00:00,2026-07-05 23:00:00,critical,rattle,12,48.36441666666667,4.545583333333333,181.26441666666665,1.1655833333333334,19.096,0.64675,12
4,2026-07-06 00:00:00,2026-07-06 11:00:00,failed,rattle,12,31.81725,2.4771666666666667,69.68575,0.14641666666666667,15.136416666666667,1.0023333333333333,12
5,2026-07-06 12:00:00,2026-07-10 03:00:00,stable,normal,88,48.33754545454545,4.542238636363636,348.78082954545454,2.100522727272727,19.084761363636364,0.15035227272727272,88
6,2026-07-10 04:00:00,2026-07-11 09:00:00,warning,hum,30,47.913199999999996,3.4891333333333336,347.54273333333333,2.1077333333333335,19.1,0.34946666666666665,30
7,2026-07-11 10:00:00,2026-07-14 23:00:00,stable,normal,86,48.21863953488372,4.527412790697674,351.3586395348837,2.10803488372093,18.949581395348837,0.15330232558139537,86
8,2026-07-15 00:00:00,2026-07-15 11:00:00,warning,hum,12,46.77908333333334,4.347416666666667,298.7488333333333,1.8206666666666667,18.8245,0.3214166666666667,12
9,2026-07-15 12:00:00,2026-07-15 23:00:00,critical,rattle,12,47.934416666666664,4.49175,180.15841666666665,1.1469166666666666,19.178083333333333,0.6585,12
10,2026-07-16 00:00:00,2026-07-16 11:00:00,failed,rattle,12,32.634083333333336,2.57925,72.43566666666668,0.16075,14.945916666666667,1.0043333333333333,12
11,2026-07-16 12:00:00,2026-07-18 21:00:00,stable,normal,58,48.50991379310344,4.563689655172414,354.1634224137931,2.128155172413793,18.997775862068966,0.14806896551724136,58
12,2026-07-18 22:00:00,2026-07-20 03:00:00,warning,hum,30,46.963766666666665,3.4204333333333334,349.61566666666664,2.1798,19.070766666666668,0.34900000000000003,30
13,2026-07-20 04:00:00,2026-07-21 19:00:00,stable,normal,40,48.045075,4.65565,349.1291,2.17865,19.073525,0.153875,40
